unit_concept_id,unit_source_value
8923.0,IU/L
,
8840.0,mg/dl
8713.0,g/dL
8713.0,g/dl
8554.0,%
,x10³/㎕
,x10³
,x100³/㎕
8753.0,mmol/L
8752.0,mm/hr
8583.0,fl
,mIU/mL
8751.0,mg/L
8786.0,/HPF
8555.0,sec
8729.0,pmol/L
8842.0,ng/mL
,uIU/mL
8763.0,U/mL
8482.0,pH
8876.0,mmHg
9570.0,ml/dl
8645.0,U/L
,mOsm/Kg
8749.0,umol/L
,mg/L FEU
8837.0,ug/dL
8845.0,pg/mL
8840.0,mg/dL
8859.0,ug/mL
8636.0,g/L
8736.0,nmol/L
,mL/min/1.7
8583.0,fL
8564.0,pg
,INR
,R.U
8842.0,ng/ml
8985.0,IU/mL
8785.0,/mm3
8725.0,ng/L
8748.0,μg/L
8985.0,IU/ml
8763.0,U/ml
,/mmⓒø
8723.0,mg/g
,uU/mL
,uU/ml
8837.0,ug/dl
,/mm³
,mAU/ml
,mIU/ml
8859.0,ug/ml
,COI
,index valu
,uIU/ml
,x10ⓒø
8529.0,Index
9572.0,mm²
,min.sec
8636.0,g/l
,U
,mP
8751.0,mg/l
,AU/ml
8645.0,U/l
,mg/day
,AU/mL
,cells/㎕
8799.0,copies/ml
8799.0,copies/mL
8763.0,u/mL
,Units
9157.0,GPL-U/ml
9158.0,MPL-U/ml
8763.0,u/ml
44777652.0,umol/h/L
8647.0,/ul
,/100WBC
8587.0,ml
8748.0,ug/L
,COI(Cut Of
9438.0,/10^5
,nM/mM crea
8549.0,/10^6
9562.0,mg/kg
,mmol/day
8859.0,UG/ML
,x10^6/Kg
8985.0,_IU/mL
,ug/day
,MFI
,점
,uEq/L
8647.0,/㎕
9014.0,ug/g creat
,Unit
8695.0,EU/mL
8829.0,EU/mL
,U/gHb
,mEq/L
8749.0,μmol/ℓ
9388.0,PRU
,/300 field
8748.0,ug/ℓ
8817.0,ng/dL
,(BU/mL)
9448.0,세
9529.0,kg
8582.0,cm
9531.0,kilogram per square meter
