LOCATION_ID,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTY,LOCATION_SOURCE_VALUE,LATITUDE,LONGITUDE
1, ,,Busan, ,460,South Korea,460,35.2438001,129.2143053
2,Buk-gu,,Busan, ,465,South Korea,465,35.2096029,129.0083976
3,Buk-gu,,Busan, ,466,South Korea,466,35.2002879,128.9962255
4,Busanjin-gu,,Busan, ,471,South Korea,471,35.1591695,129.0253703
5,Busanjin-gu,,Busan, ,472,South Korea,472,35.1558716,129.0359609
6,Busanjin-gu,,Busan, ,473,South Korea,473,35.1506706,129.0282388
7,Dong-gu,,Busan, ,487,South Korea,487,35.1325113,129.0589853
8,Dong-gu,,Busan, ,488,South Korea,488,35.1183896,129.0368573
9,Dongnae-gu,,Busan, ,477,South Korea,477,35.2048424,129.0794734
10,Dongnae-gu,,Busan, ,478,South Korea,478,35.1961232,129.0883641
11,Dongnae-gu,,Busan, ,479,South Korea,479,35.1939042,129.0948061
12,Gangseo-gu,,Busan, ,467,South Korea,467,35.2161483,128.9391109
13,Geumjeong-gu,,Busan, ,462,South Korea,462,35.2467703,129.0892436
14,Geumjeong-gu,,Busan, ,463,South Korea,463,35.215263,129.1101637
15,Haeundae-gu,,Busan, ,480,South Korea,480,35.2208697,129.1510128
16,Haeundae-gu,,Busan, ,481,South Korea,481,35.1560938,129.1520503
17,Jung-gu,,Busan, ,489,South Korea,489,35.099054,129.0307467
18,Nam-gu,,Busan, ,484,South Korea,484,35.1170892,129.0771011
19,Nam-gu,,Busan, ,485,South Korea,485,35.1153706,129.0859562
20,Saha-gu,,Busan, ,493,South Korea,493,35.0978098,129.0092395
21,Saha-gu,,Busan, ,494,South Korea,494,35.0893998,128.9960152
22,Saha-gu,,Busan, ,495,South Korea,495,35.0693212,128.9891837
23,Sasang-gu,,Busan, ,469,South Korea,469,35.1508357,128.9934119
24,Sasang-gu,,Busan, ,470,South Korea,470,35.1433572,128.9743455
25,Seo-gu,,Busan, ,492,South Korea,492,35.0836132,129.0176147
26,Suyeong-gu,,Busan, ,482,South Korea,482,35.1636636,129.112566
27,Suyeong-gu,,Busan, ,483,South Korea,483,35.1516378,129.1126099
28,Yeongdo-gu,,Busan, ,490,South Korea,490,35.0900388,129.040557
29,Yeongdo-gu,,Busan, ,491,South Korea,491,35.073895,129.0683851
30,Yeonje-gu,,Busan, ,475,South Korea,475,35.197404,129.0761033
31,Yeonje-gu,,Busan, ,476,South Korea,476,35.1744877,129.0809473
32, ,,Daegu, ,429,South Korea,429,35.7768669,128.6498656
33, ,,Daegu, ,430,South Korea,430,35.6721705,128.4490331
34,Buk-gu,,Daegu, ,414,South Korea,414,35.935952,128.5633638
35,Buk-gu,,Daegu, ,415,South Korea,415,35.9111046,128.6162768
36,Dalseo-gu,,Daegu, ,426,South Korea,426,35.8454542,128.5095616
37,Dalseo-gu,,Daegu, ,427,South Korea,427,35.8425511,128.5025641
38,Dalseo-gu,,Daegu, ,428,South Korea,428,35.8085982,128.5343355
39,Dong-gu,,Daegu, ,410,South Korea,410,35.8847543,128.7158073
40,Dong-gu,,Daegu, ,411,South Korea,411,35.8747366,128.7208513
41,Dong-gu,,Daegu, ,412,South Korea,412,35.8814839,128.6261835
42,Jung-gu,,Daegu, ,419,South Korea,419,35.8711056,128.5870949
43,Nam-gu,,Daegu, ,424,South Korea,424,35.8376408,128.5672765
44,Nam-gu,,Daegu, ,425,South Korea,425,35.8309232,128.5594918
45,Seo-gu,,Daegu, ,417,South Korea,417,35.8769004,128.5690312
46,Seo-gu,,Daegu, ,418,South Korea,418,35.8672977,128.5760345
47,Suseong-gu,,Daegu, ,420,South Korea,420,35.8649929,128.6449822
48,Suseong-gu,,Daegu, ,421,South Korea,421,35.850478,128.6169246
49,Suseong-gu,,Daegu, ,422,South Korea,422,35.8516116,128.6870849
50,Daedeok-gu,,Daejeon, ,343,South Korea,343,36.4338535,127.4645026
51,Daedeok-gu,,Daejeon, ,344,South Korea,344,36.3647045,127.4402305
52,Dong-gu,,Daejeon, ,345,South Korea,345,36.3458916,127.4530873
53,Dong-gu,,Daejeon, ,346,South Korea,346,36.3390686,127.4397695
54,Dong-gu,,Daejeon, ,347,South Korea,347,36.4153451,127.5323082
55,Jung-gu,,Daejeon, ,348,South Korea,348,36.329105,127.4004309
56,Jung-gu,,Daejeon, ,349,South Korea,349,36.3189955,127.4281445
57,Jung-gu,,Daejeon, ,350,South Korea,350,36.2823082,127.4225513
58,Seo-gu,,Daejeon, ,352,South Korea,352,36.3357137,127.3856648
59,Seo-gu,,Daejeon, ,353,South Korea,353,36.3117622,127.3531388
60,Seo-gu,,Daejeon, ,354,South Korea,354,36.2820451,127.3645176
61,Yuseong-gu,,Daejeon, ,340,South Korea,340,36.4246836,127.391257
62,Yuseong-gu,,Daejeon, ,341,South Korea,341,36.3852855,127.3610642
63,Yuseong-gu,,Daejeon, ,342,South Korea,342,36.3374667,127.3005114
64,Buk-gu,,Gwangju, ,610,South Korea,610,35.223747,126.8589342
65,Buk-gu,,Gwangju, ,611,South Korea,611,35.1849078,126.9363765
66,Buk-gu,,Gwangju, ,612,South Korea,612,35.1539117,126.9073578
67,Dong-gu,,Gwangju, ,614,South Korea,614,35.163578,126.9179287
68,Dong-gu,,Gwangju, ,615,South Korea,615,35.0930579,126.9391953
69,Gwangsan-gu,,Gwangju, ,622,South Korea,622,35.2019388,126.7770464
70,Gwangsan-gu,,Gwangju, ,623,South Korea,623,35.1871377,126.7858017
71,Gwangsan-gu,,Gwangju, ,624,South Korea,624,35.1995727,126.7899831
72,Nam-gu,,Gwangju, ,616,South Korea,616,35.1457497,126.9112738
73,Nam-gu,,Gwangju, ,617,South Korea,617,35.054774,126.810334
74,Seo-gu,,Gwangju, ,619,South Korea,619,35.1589081,126.8943035
75,Seo-gu,,Gwangju, ,620,South Korea,620,35.1238742,126.8562081
76, ,,Incheon, ,230,South Korea,230,37.7454289,126.4989708
77, ,,Incheon, ,231,South Korea,231,37.8252063,124.7165834
78,Bupyeong-gu,,Incheon, ,213,South Korea,213,37.5185787,126.7215264
79,Bupyeong-gu,,Incheon, ,214,South Korea,214,37.4824198,126.7513995
80,Dong-gu,,Incheon, ,225,South Korea,225,37.4728764,126.6403147
81,Gyeyang-gu,,Incheon, ,210,South Korea,210,37.5831984,126.721004
82,Gyeyang-gu,,Incheon, ,211,South Korea,211,37.527755,126.7232851
83,Jung-gu,,Incheon, ,223,South Korea,223,37.4722357,126.6322503
84,Namdong-gu,,Incheon, ,215,South Korea,215,37.4639011,126.7129978
85,Namdong-gu,,Incheon, ,216,South Korea,216,37.3944155,126.704517
86,Namdong-gu,,Incheon, ,217,South Korea,217,37.3899698,126.6863951
87,Nam-gu,,Incheon, ,221,South Korea,221,37.4813677,126.6558913
88,Nam-gu,,Incheon, ,222,South Korea,222,37.4461376,126.6913914
89,Seo-gu,,Incheon, ,226,South Korea,226,37.5613249,126.6716563
90,Seo-gu,,Incheon, ,227,South Korea,227,37.5278279,126.6711187
91,Seo-gu,,Incheon, ,228,South Korea,228,37.5171568,126.7030316
92,Yeonsu-gu,,Incheon, ,219,South Korea,219,37.406791,126.671941
93,Yeonsu-gu,,Incheon, ,220,South Korea,220,37.3674209,126.6391636
94, ,,Sejong-si, ,300,South Korea,300,37.2442179,127.0602868
95, ,,Sejong-si, ,301,South Korea,301,36.5163619,127.2325097
96,Dobong-gu,,Seoul, ,13,South Korea,13,37.6879391,127.0336271
97,Dobong-gu,,Seoul, ,14,South Korea,14,37.6616965,127.0488039
98,Dongdaemun-gu,,Seoul, ,24,South Korea,24,37.5948523,127.065014
99,Dongdaemun-gu,,Seoul, ,25,South Korea,25,37.5728469,127.050788
100,Dongdaemun-gu,,Seoul, ,26,South Korea,26,37.5690296,127.0527684
101,Dongjak-gu,,Seoul, ,69,South Korea,69,37.5121927,126.9426099
102,Dongjak-gu,,Seoul, ,70,South Korea,70,37.4988477,126.9209566
103,Eunpyeong-gu,,Seoul, ,33,South Korea,33,37.6136331,126.9146012
104,Eunpyeong-gu,,Seoul, ,34,South Korea,34,37.6118299,126.9127484
105,Eunpyeong-gu,,Seoul, ,35,South Korea,35,37.5879406,126.9012474
106,Gangbuk-gu,,Seoul, ,10,South Korea,10,37.636018,127.0304322
107,Gangbuk-gu,,Seoul, ,11,South Korea,11,37.6260122,127.0148029
108,Gangbuk-gu,,Seoul, ,12,South Korea,12,37.6146092,127.0350209
109,Gangdong-gu,,Seoul, ,52,South Korea,52,37.5663288,127.1779966
