"concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
42484107,"Mosquito-borne viral encephalitis, unspecified",Condition,KCD7,KCD7 code,,A83.9,2017-07-01,2099-12-31,
42484108,Tick-borne viral encephalitis,Condition,KCD7,KCD7 code,,A84,2017-07-01,2099-12-31,
42484109,Central European tick-borne encephalitis,Condition,KCD7,KCD7 code,,A84.1,2017-07-01,2099-12-31,
42484110,Other tick-borne viral encephalitis,Condition,KCD7,KCD7 code,,A84.8,2017-07-01,2099-12-31,
42484111,"Tick-borne viral encephalitis, unspecified",Condition,KCD7,KCD7 code,,A84.9,2017-07-01,2099-12-31,
42484112,"Other viral encephalitis, NEC",Condition,KCD7,KCD7 code,,A85,2017-07-01,2099-12-31,
42484113,Enteroviral encephalitis(G05.1*),Condition,KCD7,KCD7 code,,A85.0,2017-07-01,2099-12-31,
42484114,Adenoviral encephalitis(G05.1*),Condition,KCD7,KCD7 code,,A85.1,2017-07-01,2099-12-31,
42484115,"Arthropod-borne viral encephalitis, unspecified",Condition,KCD7,KCD7 code,,A85.2,2017-07-01,2099-12-31,
42484116,Other specified viral encephalitis,Condition,KCD7,KCD7 code,,A85.8,2017-07-01,2099-12-31,
42484117,Unspecified viral encephalitis,Condition,KCD7,KCD7 code,,A86,2017-07-01,2099-12-31,
42484118,Viral meningitis,Condition,KCD7,KCD7 code,,A87,2017-07-01,2099-12-31,
42484119,Enteroviral meningitis(G02.0*),Condition,KCD7,KCD7 code,,A87.0,2017-07-01,2099-12-31,
42484120,Adenoviral meningitis(G02.0*),Condition,KCD7,KCD7 code,,A87.1,2017-07-01,2099-12-31,
42484121,Lymphocytic choriomeningitis,Condition,KCD7,KCD7 code,,A87.2,2017-07-01,2099-12-31,
42484122,Other viral meningitis,Condition,KCD7,KCD7 code,,A87.8,2017-07-01,2099-12-31,
42484123,"Viral meningitis, unspecified",Condition,KCD7,KCD7 code,,A87.9,2017-07-01,2099-12-31,
42484124,"Other viral infections of central nervous system, NEC",Condition,KCD7,KCD7 code,,A88,2017-07-01,2099-12-31,
42484125,Enteroviral exanthematous fever [Boston exanthem],Condition,KCD7,KCD7 code,,A88.0,2017-07-01,2099-12-31,
42484126,Epidemic vertigo,Condition,KCD7,KCD7 code,,A88.1,2017-07-01,2099-12-31,
42484127,Other specified viral infections of central nervous system,Condition,KCD7,KCD7 code,,A88.8,2017-07-01,2099-12-31,
