"concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
45952078,Suppository(ies),Unit,CIEL,Units of Measure,,"1518",2007-10-21,2099-12-31,
45956571,Milligram,Unit,CIEL,Units of Measure,,"161553",2013-01-24,2099-12-31,
45934961,Gram(s),Unit,CIEL,Units of Measure,,"161554",2013-01-24,2099-12-31,
45912644,Liter,Unit,CIEL,Units of Measure,,"162262",2014-01-29,2099-12-31,
45946711,Milliliter,Unit,CIEL,Units of Measure,,"162263",2014-01-29,2099-12-31,
45951493,Ampule(s),Unit,CIEL,Units of Measure,,"162335",2014-05-06,2099-12-31,
45912653,Bar(s),Unit,CIEL,Units of Measure,,"162351",2014-05-15,2099-12-31,
45919310,Bolus(es),Unit,CIEL,Units of Measure,,"162352",2014-05-15,2099-12-31,
45922332,Bottle(s),Unit,CIEL,Units of Measure,,"162353",2014-05-15,2099-12-31,
45922333,Can(s),Unit,CIEL,Units of Measure,,"162354",2014-05-15,2099-12-31,
45919311,Container(s),Unit,CIEL,Units of Measure,,"162355",2014-05-15,2099-12-31,
45937888,Drop(s),Unit,CIEL,Units of Measure,,"162356",2014-05-15,2099-12-31,
45912654,Enema(s),Unit,CIEL,Units of Measure,,"162357",2014-05-15,2099-12-31,
45951839,Fluid ounce(s),Unit,CIEL,Units of Measure,,"162358",2014-05-15,2099-12-31,
45951840,Gallon(s),Unit,CIEL,Units of Measure,,"162359",2014-05-15,2099-12-31,
45912655,Gum(s),Unit,CIEL,Units of Measure,,"162360",2014-05-15,2099-12-31,
45949809,Inch(es),Unit,CIEL,Units of Measure,,"162361",2014-05-15,2099-12-31,
45919312,Kilogram(s),Unit,CIEL,Units of Measure,,"162362",2014-05-15,2099-12-31,
45919313,Lozenge(s),Unit,CIEL,Units of Measure,,"162363",2014-05-15,2099-12-31,
45951841,Milliequivalent(s),Unit,CIEL,Units of Measure,,"162364",2014-05-15,2099-12-31,
45949810,Metric drop(s),Unit,CIEL,Units of Measure,,"162365",2014-05-15,2099-12-31,
45919314,Microgram(s),Unit,CIEL,Units of Measure,,"162366",2014-05-15,2099-12-31,
45919315,Million units,Unit,CIEL,Units of Measure,,"162367",2014-05-15,2099-12-31,
45949811,Nebulizer(s),Unit,CIEL,Units of Measure,,"162368",2014-05-15,2099-12-31,
45912656,Pad(s),Unit,CIEL,Units of Measure,,"162369",2014-05-15,2099-12-31,
45951842,Patch(es),Unit,CIEL,Units of Measure,,"162370",2014-05-15,2099-12-31,
45922334,Pint(s),Unit,CIEL,Units of Measure,,"162371",2014-05-15,2099-12-31,
45919316,Puff(s),Unit,CIEL,Units of Measure,,"162372",2014-05-15,2099-12-31,
45937889,Ring suppository(ies),Unit,CIEL,Units of Measure,,"162373",2014-05-15,2099-12-31,
45946719,Scoop(s),Unit,CIEL,Units of Measure,,"162374",2014-05-15,2099-12-31,
45935256,Spray(s),Unit,CIEL,Units of Measure,,"162375",2014-05-15,2099-12-31,
45949812,Application(s),Unit,CIEL,Units of Measure,,"162376",2014-05-15,2099-12-31,
45951843,Syringe(s),Unit,CIEL,Units of Measure,,"162377",2014-05-15,2099-12-31,
45919317,Tablespoon(s),Unit,CIEL,Units of Measure,,"162378",2014-05-15,2099-12-31,
45935257,Teaspoon(s),Unit,CIEL,Units of Measure,,"162379",2014-05-15,2099-12-31,
45912657,Tube(s),Unit,CIEL,Units of Measure,,"162380",2014-05-15,2099-12-31,
45951844,Unit(s),Unit,CIEL,Units of Measure,,"162381",2014-05-15,2099-12-31,
45949813,Vial(s),Unit,CIEL,Units of Measure,,"162382",2014-05-15,2099-12-31,
45912658,Biscuit wafer,Unit,CIEL,Units of Measure,,"162383",2014-05-15,2099-12-31,
45937947,Milligrams per kilogram,Unit,CIEL,Units of Measure,,"162761",2014-12-11,2099-12-31,
45919576,Milliliters per kilogram,Unit,CIEL,Units of Measure,,"162762",2014-12-11,2099-12-31,
45937948,Vial(s),Unit,CIEL,Units of Measure,,"162763",2014-12-11,2099-12-31,
45949945,Micrograms per kilogram,Unit,CIEL,Units of Measure,,"162766",2014-12-15,2099-12-31,
45949957,Micrograms per kilogram per minute,Unit,CIEL,Units of Measure,,"162838",2015-01-24,2099-12-31,
45951895,International units per hour,Unit,CIEL,Units of Measure,,"162839",2015-01-24,2099-12-31,
45919584,Milligrams per kilogram per hour,Unit,CIEL,Units of Measure,,"162840",2015-01-24,2099-12-31,
45919585,Milligrams per kilogram per minute,Unit,CIEL,Units of Measure,,"162841",2015-01-24,2099-12-31,
45947056,Micrograms per kilogram per hour,Unit,CIEL,Units of Measure,,"162842",2015-01-24,2099-12-31,
45922401,Millimole,Unit,CIEL,Units of Measure,,"162843",2015-01-24,2099-12-31,
